start time(ohne Tag),count,count_anteilig,gleitender_MW_15min,gleitender_Stundenwert_aus_MW
00:00,2,0.0005884083553986466,0.0011768167107972932,0.004707266843189173
00:15,6,0.00176522506619594,0.001274884770030401,0.005099539080121604
00:30,5,0.0014710208884966167,0.0010297146219476316,0.004118858487790526
00:45,1,0.0002942041776993233,0.0012503677552221243,0.005001471020888497
01:00,5,0.0014710208884966167,0.0009561635775228008,0.0038246543100912034
01:15,2,0.0005884083553986466,0.0007355104442483083,0.002942041776993233
01:30,2,0.0005884083553986466,0.0010297146219476316,0.004118858487790526
01:45,5,0.0014710208884966167,0.0006619593998234774,0.0026478375992939097
02:00,0,0.0,0.0005148573109738158,0.002059429243895263
02:15,0,0.0,0.0003677552221241542,0.0014710208884966167
02:30,0,0.0,0.0,0.0
02:45,0,0.0,7.355104442483083e-05,0.0002942041776993233
03:00,1,0.0002942041776993233,7.355104442483083e-05,0.0002942041776993233
03:15,0,0.0,0.0002942041776993233,0.0011768167107972932
03:30,3,0.00088261253309797,0.0002942041776993233,0.0011768167107972932
03:45,0,0.0,0.0002206531332744925,0.00088261253309797
04:00,0,0.0,0.0005884083553986467,0.002353633421594587
04:15,5,0.0014710208884966167,0.0007355104442483084,0.0029420417769932335
04:30,5,0.0014710208884966167,0.0008090614886731392,0.003236245954692557
04:45,1,0.0002942041776993233,0.0009561635775228008,0.0038246543100912034
05:00,2,0.0005884083553986466,0.0009561635775228007,0.003824654310091203
05:15,5,0.0014710208884966167,0.0009561635775228007,0.003824654310091203
05:30,5,0.0014710208884966167,0.0016181229773462782,0.006472491909385113
05:45,10,0.0029420417769932335,0.0019123271550456017,0.007649308620182407
06:00,6,0.00176522506619594,0.002574286554869079,0.010297146219476316
06:15,14,0.004118858487790526,0.0031626949102677255,0.012650779641070902
06:30,13,0.0038246543100912034,0.0040453074433656954,0.016181229773462782
06:45,22,0.006472491909385114,0.005810532509561635,0.02324213003824654
07:00,30,0.0088261253309797,0.006693145042659606,0.026772580170638424
07:15,26,0.007649308620182407,0.007502206531332744,0.030008826125330977
07:30,24,0.00706090026478376,0.008531921153280376,0.0341276846131215
07:45,36,0.01059135039717564,0.0077964107090320684,0.031185642836128274
08:00,20,0.005884083553986467,0.008090614886731393,0.03236245954692557
08:15,30,0.0088261253309797,0.008605472197705208,0.03442188879082083
08:30,31,0.009120329508679022,0.008605472197705208,0.03442188879082083
08:45,36,0.01059135039717564,0.00970873786407767,0.03883495145631068
09:00,35,0.010297146219476317,0.010738452486025302,0.04295380994410121
09:15,44,0.012944983818770227,0.011400411885848779,0.045601647543395116
09:30,40,0.011768167107972934,0.012944983818770225,0.0517799352750809
09:45,57,0.01676963812886143,0.013680494263018535,0.05472197705207414
10:00,45,0.01323918799646955,0.013680494263018535,0.05472197705207414
10:15,44,0.012944983818770227,0.013754045307443365,0.05501618122977346
10:30,41,0.012062371285672257,0.012135922330097089,0.048543689320388356
10:45,35,0.010297146219476317,0.012724330685495736,0.05089732274198294
11:00,53,0.015592821418064137,0.013386290085319212,0.05354516034127685
11:15,53,0.015592821418064137,0.014489555751691674,0.057958223006766695
11:30,56,0.016475433951162105,0.01588702559576346,0.06354810238305383
11:45,54,0.01588702559576346,0.014857310973815829,0.059429243895263315
12:00,39,0.01147396293027361,0.014489555751691674,0.057958223006766695
12:15,48,0.01412180052956752,0.01331273904089438,0.05325095616357752
12:30,40,0.011768167107972934,0.012209473374521919,0.048837893498087676
12:45,39,0.01147396293027361,0.012724330685495734,0.050897322741982935
13:00,46,0.013533392174168874,0.012797881729920565,0.05119152691968226
13:15,49,0.014416004707266844,0.01316563695204472,0.05266254780817888
13:30,45,0.01323918799646955,0.01500441306266549,0.06001765225066196
13:45,64,0.01882906737275669,0.01779935275080906,0.07119741100323625
14:00,84,0.02471315092674316,0.019196822594880848,0.07678729037952339
14:15,68,0.020005884083553988,0.02235951750514857,0.08943807002059428
14:30,88,0.025889967637540454,0.024198293615769348,0.09679317446307739
14:45,89,0.026184171815239778,0.024566048837893498,0.09826419535157399
15:00,89,0.026184171815239778,0.024345395704619008,0.09738158281847603
15:15,65,0.019123271550456015,0.024566048837893498,0.09826419535157399
15:30,91,0.026772580170638424,0.02478670197116799,0.09914680788467196
15:45,92,0.027066784348337748,0.023095027949396878,0.09238011179758751
16:00,66,0.019417475728155338,0.025522212415416298,0.10208884966166519
16:15,98,0.028832009414533687,0.025228008237716978,0.10091203295086791
16:30,87,0.02559576345984113,0.025522212415416298,0.10208884966166519
16:45,96,0.02824360105913504,0.026331273904089438,0.10532509561635775
17:00,77,0.022653721682847898,0.027066784348337748,0.10826713739335099
17:15,108,0.03177405119152692,0.02574286554869079,0.10297146219476316
17:30,69,0.02030008826125331,0.023242130038246545,0.09296852015298618
17:45,62,0.018240659017358045,0.022800823771697558,0.09120329508679023
18:00,71,0.020888496616651958,0.020005884083553988,0.08002353633421595
18:15,70,0.020594292438952635,0.02140335392762577,0.08561341571050309
18:30,88,0.025889967637540454,0.020520741394527805,0.08208296557811122
18:45,50,0.014710208884966167,0.019343924683730508,0.07737569873492203
19:00,55,0.016181229773462782,0.01779935275080906,0.07119741100323625
19:15,49,0.014416004707266844,0.016181229773462785,0.06472491909385114
19:30,66,0.019417475728155338,0.014489555751691672,0.05795822300676669
19:45,27,0.00794351279788173,0.013092085907619889,0.052368343630479555
20:00,36,0.01059135039717564,0.012797881729920565,0.05119152691968226
20:15,45,0.01323918799646955,0.010297146219476317,0.04118858487790527
20:30,32,0.009414533686378346,0.00970873786407767,0.03883495145631068
