start time(ohne Tag),count,count_anteilig,gleitender_MW_15min,gleitender_Stundenwert_aus_MW
00:00,3,0.00048316959252697695,0.0006442261233693026,0.0025769044934772106
00:15,5,0.0008052826542116283,0.0008052826542116282,0.0032211306168465127
00:30,7,0.0011273957158962795,0.0009663391850539538,0.003865356740215815
00:45,9,0.0014495087775809308,0.0009663391850539539,0.0038653567402158156
01:00,3,0.00048316959252697695,0.000885810919632791,0.003543243678531164
01:15,3,0.00048316959252697695,0.0010066033177645352,0.004026413271058141
01:30,10,0.0016105653084232566,0.0007650185215010469,0.0030600740860041876
01:45,3,0.00048316959252697695,0.0006442261233693026,0.0025769044934772106
02:00,0,0.0,0.0005636978579481398,0.002254791431792559
02:15,1,0.00016105653084232566,0.0003221130616846513,0.0012884522467386053
02:30,4,0.0006442261233693026,0.00020132066355290707,0.0008052826542116283
02:45,0,0.0,0.00024158479626348848,0.0009663391850539539
03:00,1,0.00016105653084232566,0.00020132066355290707,0.0008052826542116283
03:15,0,0.0,4.0264132710581415e-05,0.00016105653084232566
03:30,0,0.0,8.052826542116283e-05,0.0003221130616846513
03:45,1,0.00016105653084232566,8.052826542116283e-05,0.0003221130616846513
04:00,1,0.00016105653084232566,8.052826542116283e-05,0.0003221130616846513
04:15,0,0.0,0.0002415847962634885,0.000966339185053954
04:30,4,0.0006442261233693026,0.00020132066355290707,0.0008052826542116283
04:45,0,0.0,0.00016105653084232566,0.0006442261233693026
05:00,0,0.0,0.0003221130616846513,0.0012884522467386053
05:15,4,0.0006442261233693026,0.00040264132710581414,0.0016105653084232566
05:30,6,0.0009663391850539539,0.000885810919632791,0.003543243678531164
05:45,12,0.0019326783701079078,0.0014495087775809308,0.005798035110323723
06:00,14,0.002254791431792559,0.0016910935738444193,0.006764374295377677
06:15,10,0.0016105653084232566,0.0027379610243195365,0.010951844097278146
06:30,32,0.005153808986954421,0.0039056208729263972,0.015622483491705589
06:45,41,0.006603317764535352,0.005798035110323724,0.023192140441294896
07:00,61,0.009824448381381865,0.007609921082299887,0.030439684329199548
07:15,55,0.008858109196327912,0.008495732001932679,0.033982928007730714
07:30,54,0.008697052665485585,0.009260750523433727,0.03704300209373491
07:45,60,0.00966339185053954,0.008777580930906748,0.03511032372362699
08:00,49,0.007891770011273957,0.008697052665485585,0.03478821066194234
08:15,53,0.00853599613464326,0.00881784506361733,0.03527138025446932
08:30,57,0.009180222258012563,0.010066033177645355,0.04026413271058142
08:45,91,0.014656144306651634,0.010831051699146402,0.04332420679658561
09:00,68,0.010951844097278144,0.01135448542438396,0.04541794169753584
09:15,66,0.010629731035593493,0.012038975680463842,0.04815590272185537
09:30,74,0.0119181832823321,0.011555806087936866,0.046223224351747465
09:45,79,0.012723465936543726,0.01340795619262361,0.05363182477049444
10:00,114,0.018360444516025125,0.015099049766468031,0.060396199065872125
10:15,108,0.01739410533097117,0.014696408439362216,0.058785633757448864
10:30,64,0.010307617973908842,0.01542116282815268,0.06168465131261072
10:45,97,0.015622483491705589,0.014817200837493962,0.05926880334997585
11:00,99,0.015944596553390238,0.014978257368336287,0.05991302947334515
11:15,112,0.018038331454340473,0.016951199871154773,0.0678047994846191
11:30,113,0.0181993879851828,0.01759542599452408,0.07038170397809632
11:45,113,0.0181993879851828,0.019971009824448382,0.07988403929779353
12:00,158,0.025446931873087452,0.019850217426316638,0.07940086970526655
12:15,109,0.017555161861813495,0.021541311000161056,0.08616524400064422
12:30,155,0.024963762280560478,0.0233934611048478,0.0935738444193912
12:45,159,0.02560798840392978,0.021984216459977453,0.08793686583990981
13:00,123,0.019809953293606054,0.023232404574005477,0.0929296182960219
13:15,140,0.02254791431792559,0.021702367531003384,0.08680947012401354
13:30,117,0.018843614108552103,0.019528104364631985,0.07811241745852794
13:45,105,0.016910935738444193,0.019447576099210825,0.0777903043968433
14:00,121,0.019487840231921405,0.019004670639394428,0.07601868255757771
14:15,129,0.02077629247866001,0.019447576099210825,0.0777903043968433
14:30,128,0.020615235947817685,0.019769689160895478,0.07907875664358191
14:45,113,0.0181993879851828,0.019487840231921405,0.07795136092768562
15:00,114,0.018360444516025125,0.018642293444999198,0.07456917377999679
15:15,108,0.01739410533097117,0.01908519890481559,0.07634079561926237
15:30,139,0.022386857787083266,0.02025285875342245,0.0810114350136898
15:45,142,0.022870027379610244,0.02142051860202931,0.08568207440811725
16:00,143,0.02303108391045257,0.02307134804316315,0.0922853921726526
16:15,149,0.023997423095506523,0.022346593654372686,0.08938637461749074
16:30,121,0.019487840231921405,0.02270897084876792,0.09083588339507168
16:45,151,0.024319536157191173,0.022306329521662102,0.08922531808664841
17:00,133,0.02142051860202931,0.022225801256240938,0.08890320502496375
17:15,147,0.02367531003382187,0.021863424061845705,0.08745369624738282
17:30,112,0.018038331454340473,0.020051538089869543,0.08020615235947817
17:45,106,0.01707199226928652,0.019286519568368497,0.07714607827347399
18:00,114,0.018360444516025125,0.018320180383314545,0.07328072153325818
18:15,123,0.019809953293606054,0.017514897729102915,0.07005959091641166
18:30,92,0.01481720083749396,0.017273312932839426,0.0690932517313577
18:45,100,0.016105653084232566,0.01658882267675954,0.06635529070703816
19:00,97,0.015622483491705589,0.015179578031889194,0.060718312127556774
19:15,88,0.014172974714124658,0.014535351908519891,0.058141407634079566
19:30,76,0.01224029634401675,0.013166371396360121,0.052665485585440486
19:45,66,0.010629731035593493,0.011918183282332098,0.04767273312932839
20:00,66,0.010629731035593493,0.010388146239330005,0.04155258495732002
20:15,50,0.008052826542116283,0.008697052665485585,0.03478821066194234
