start time(ohne Tag),count,count_anteilig,gleitender_MW_15min,gleitender_Stundenwert_aus_MW
00:00,2,0.0010970927043335162,0.0021941854086670325,0.00877674163466813
00:15,6,0.0032912781130005485,0.0018284878405558603,0.007313951362223441
00:30,2,0.0010970927043335162,0.0015085024684585847,0.006034009873834339
00:45,1,0.0005485463521667581,0.0012342292923752057,0.004936917169500823
01:00,0,0.0,0.0006856829402084477,0.002742731760833791
01:15,2,0.0010970927043335162,0.0004114097641250686,0.0016456390565002745
01:30,0,0.0,0.00027427317608337906,0.0010970927043335162
01:45,0,0.0,0.0004114097641250686,0.0016456390565002745
02:00,1,0.0005485463521667581,0.00027427317608337906,0.0010970927043335162
02:15,1,0.0005485463521667581,0.0004114097641250686,0.0016456390565002745
02:30,1,0.0005485463521667581,0.0004114097641250686,0.0016456390565002745
02:45,0,0.0,0.00027427317608337906,0.0010970927043335162
03:00,0,0.0,0.00013713658804168953,0.0005485463521667581
03:15,0,0.0,0.0,0.0
03:30,0,0.0,0.0,0.0
03:45,0,0.0,0.0,0.0
04:00,0,0.0,0.0,0.0
04:15,0,0.0,0.00013713658804168953,0.0005485463521667581
04:30,1,0.0005485463521667581,0.00013713658804168953,0.0005485463521667581
04:45,0,0.0,0.00013713658804168953,0.0005485463521667581
05:00,0,0.0,0.00027427317608337906,0.0010970927043335162
05:15,1,0.0005485463521667581,0.00013713658804168953,0.0005485463521667581
05:30,0,0.0,0.0006856829402084476,0.0027427317608337905
05:45,4,0.0021941854086670325,0.0009599561162918267,0.003839824465167307
06:00,2,0.0010970927043335162,0.0010970927043335162,0.004388370817334065
06:15,2,0.0010970927043335162,0.001782775644541964,0.007131102578167856
06:30,5,0.0027427317608337905,0.002331321996708722,0.009325287986834888
06:45,8,0.004388370817334065,0.003565551289083928,0.014262205156335712
07:00,11,0.006034009873834339,0.0047997805814591335,0.019199122325836534
07:15,11,0.006034009873834339,0.006582556226001098,0.02633022490400439
07:30,18,0.009873834339001646,0.008365331870543061,0.033461327482172246
07:45,21,0.01151947339550192,0.009736697750959956,0.038946791003839826
08:00,21,0.01151947339550192,0.010833790455293472,0.04333516182117389
08:15,19,0.010422380691168404,0.011793746571585299,0.047174986286341196
08:30,25,0.013713658804168952,0.010833790455293472,0.04333516182117389
08:45,14,0.007679648930334613,0.011793746571585299,0.047174986286341196
09:00,28,0.015359297860669226,0.01138233680746023,0.04552934722984092
09:15,16,0.00877674163466813,0.011108063631376851,0.044432254525507406
09:30,23,0.012616566099835436,0.01151947339550192,0.04607789358200768
09:45,17,0.009325287986834888,0.009599561162918267,0.03839824465167307
10:00,14,0.007679648930334613,0.010148107515085025,0.0405924300603401
10:15,20,0.010970927043335162,0.009325287986834888,0.03730115194733955
10:30,17,0.009325287986834888,0.00891387822270982,0.03565551289083928
10:45,14,0.007679648930334613,0.009873834339001646,0.039495337356006584
11:00,21,0.01151947339550192,0.009873834339001646,0.039495337356006584
11:15,20,0.010970927043335162,0.009736697750959956,0.038946791003839826
11:30,16,0.00877674163466813,0.010148107515085025,0.0405924300603401
11:45,17,0.009325287986834888,0.012616566099835438,0.05046626439934175
12:00,39,0.021393307734503566,0.01481075150850247,0.05924300603400988
12:15,36,0.019747668678003292,0.018102029621503018,0.07240811848601207
12:30,40,0.021941854086670324,0.022216127262753703,0.08886450905101481
12:45,47,0.02578167855183763,0.025233132199670872,0.10093252879868349
13:00,61,0.033461327482172246,0.025370268787712563,0.10148107515085025
13:15,37,0.02029621503017005,0.024821722435545805,0.09928688974218322
13:30,36,0.019747668678003292,0.023998902907295668,0.09599561162918267
13:45,41,0.022490400438837082,0.019336258913878225,0.0773450356555129
14:00,27,0.014810751508502468,0.017964893033461327,0.0718595721338453
14:15,27,0.014810751508502468,0.01714207350521119,0.06856829402084476
14:30,30,0.016456390565002744,0.017964893033461327,0.0718595721338453
14:45,47,0.02578167855183763,0.019199122325836534,0.07679648930334614
15:00,36,0.019747668678003292,0.02057048820625343,0.08228195282501372
15:15,37,0.02029621503017005,0.022216127262753703,0.08886450905101481
15:30,42,0.02303894679100384,0.021256171146461875,0.0850246845858475
15:45,40,0.021941854086670324,0.02290181020296215,0.0916072408118486
16:00,48,0.026330224904004388,0.022901810202962152,0.09160724081184861
16:15,37,0.02029621503017005,0.02235326385079539,0.08941305540318156
16:30,38,0.020844761382336808,0.021530444322545254,0.08612177729018101
16:45,34,0.018650575973669776,0.0196105320899616,0.0784421283598464
17:00,34,0.018650575973669776,0.02029621503017005,0.0811848601206802
17:15,42,0.02303894679100384,0.022216127262753703,0.08886450905101481
17:30,52,0.02852441031267142,0.024547449259462426,0.0981897970378497
17:45,51,0.027975863960504662,0.024410312671420735,0.09764125068568294
18:00,33,0.018102029621503018,0.022901810202962152,0.09160724081184861
18:15,31,0.017004936917169502,0.021667580910586945,0.08667032364234778
18:30,43,0.023587493143170598,0.02015907844212836,0.08063631376851343
18:45,40,0.021941854086670324,0.02043335161821174,0.08173340647284696
19:00,35,0.019199122325836534,0.019747668678003292,0.07899067471201317
19:15,26,0.01426220515633571,0.018376302797586397,0.07350521119034559
19:30,33,0.018102029621503018,0.017142073505211193,0.06856829402084477
19:45,31,0.017004936917169502,0.015085024684585849,0.060340098738343395
20:00,20,0.010970927043335162,0.013439385628085573,0.05375754251234229
20:15,14,0.007679648930334613,0.01138233680746023,0.04552934722984092
20:30,18,0.009873834339001646,0.009051014810751509,0.036204059243006036
20:45,14,0.007679648930334613,0.007679648930334613,0.030718595721338452
21:00,10,0.005485463521667581,0.006582556226001097,0.026330224904004388
