Weekday,mean_count,std_count,std_anteil,count_anteilig
Monday,2397.25,1955.2362346615137,0.0278519039596629,0.12573511574999835
Tuesday,2578.5,2204.34026411532,0.02209257787528158,0.13524162935086903
Wednesday,2666.4375,2309.4106887183725,0.016025621682969737,0.13985392750136041
Thursday,2826.1875,2522.5173463229144,0.021449123501443065,0.14823277190267953
Friday,3355.0625,3255.4889948874547,0.0301845186777164,0.17597212296839249
Saturday,3644.9375,4560.188628682662,0.05497343195389882,0.1911759885135091
Sunday,1597.5,1460.161908830661,0.052342929756382404,0.0837884440131911
