Key,07:00_1,07:00_2,13:00_1,13:00_2,17:00_1,17:00_2,21:00_1,21:00_2
HD3_OTC28,1.0,1.0,0.9428571428571428,1.037037037037037,1.027027027027027,1.022222222222222,2.0,3.0
HH7_Suedwest,1.0,1.0,1.0441176470588236,1.153225806451613,1.1,1.105263157894737,1.0909090909090908,1.1428571428571428
LD1_OTC19,0.0,1.5,1.6666666666666667,0.6428571428571429,1.0769230769230769,0.5,0.0,1.0
RA14_Ost,0.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.0,0.0
FFB12_OTCamera09,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
FFB12_OTCamera19,0.0,0.75,1.25,0.75,0.875,1.25,0.0,0.0
FFB14_Nord,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
FFB14_West,0.0,0.0,1.3333333333333333,1.3333333333333333,1.8,0.875,0.0,0.0
FFB1_Ost,1.0,2.0,1.4444444444444444,0.4375,1.3333333333333333,0.7142857142857143,3.0,0.4
FFB1_West,1.0,1.0,1.125,1.2,0.8888888888888888,1.2,0.0,2.0
FFB3_OTCamera17,2.0,0.8,1.1428571428571428,0.6666666666666666,1.0,1.0,0.0,0.0
FFB3_OTCamera18,1.25,0.0,1.0,1.0,0.5,1.25,0.0,1.5
GI11_Nordwest,1.0,1.0,1.0,0.9629629629629628,1.0256410256410255,1.024390243902439,9.0,5.5
GI11_Suedost,1.3333333333333333,0.0,1.6363636363636365,0.8064516129032258,0.5714285714285714,0.4615384615384615,1.5,0.9166666666666666
GI1_OTCamera02,0.7142857142857143,1.5,0.6285714285714286,1.1594202898550725,0.5238095238095238,1.4666666666666666,0.5555555555555556,1.1388888888888888
GI1_OTCamera05,0.2857142857142857,1.1666666666666667,0.4266666666666667,1.7547169811320755,0.1891891891891892,1.391891891891892,1.809523809523809,0.4
GI2_Nordwest,1.0,1.0,1.181818181818182,0.8333333333333334,1.0909090909090908,1.0,1.0,1.0
GI2_Suedost,1.3,0.25,1.1666666666666667,0.7857142857142857,0.7777777777777778,1.181818181818182,1.25,0.875
GI3_OTCamera06,0.1875,1.6666666666666667,0.3275862068965517,1.3442622950819672,0.3255813953488372,1.96875,0.12,1.7222222222222223
