start time(ohne Tag),count,count_anteilig,gleitender_MW_15min,gleitender_Stundenwert_aus_MW,n
00:00,4.25,0.000921309343160633,0.000920848298784125,0.00368339319513665,8
00:15,4.25,0.000921309343160633,0.0007723570279684626,0.00308942811187395,8
00:30,2.125,0.0004606546715803165,0.0006293100347437749,0.0025172401389752506,8
00:45,1.125,0.00024387600260134402,0.0005199360468374341,0.0020797441873498506,8
01:00,2.25,0.00048775200520268804,0.00037365860829550914,0.00149463443318215,8
01:15,1.0,0.00021677866897897247,0.0003434374700093967,0.0013737498800376377,8
01:30,1.25,0.00027097333622371557,0.00039240541874075314,0.0015696216749631002,8
01:45,1.75,0.00037936267071320183,0.00028306672788439897,0.0011322669115376627,8
02:00,0.375,8.129200086711468e-05,0.0003035792375684315,0.001214316950273775,8
02:15,1.0,0.00021677866897897247,0.000286394338693599,0.0011455773547744375,8
02:30,0.625,0.00013548666811185779,0.00020167156386376343,0.000806686255455075,8
02:45,0.25,5.419466724474312e-05,0.00019428204969261119,0.0007771281987704877,8
03:00,0.375,8.129200086711468e-05,0.00014930960335873735,0.0005972384134349626,8
03:15,0.625,0.00013548666811185779,0.00015647291443558688,0.0006258916577423876,8
03:30,1.625,0.0003522653370908303,0.00020713381774004936,0.0008285352709602499,8
03:45,1.125,0.00024387600260134402,0.00023992195935757508,0.0009596878374304125,8
04:00,0.625,0.00013548666811185779,0.00027899737890207097,0.00111598951560835,8
04:15,1.125,0.00024387600260134402,0.00026483448519577324,0.0010593379407831376,8
04:30,1.0,0.00021677866897897247,0.0002736130469953815,0.0010944521879815876,8
04:45,0.875,0.00018968133535660092,0.00031770656479163144,0.0012708262591666125,8
05:00,1.875,0.0004064600043355734,0.0003931508405506582,0.0015726033622026627,8
05:15,2.5,0.0005419466724474311,0.0005597064741925392,0.0022388258967702378,8
05:30,4.0,0.0008671146759158899,0.0007991734824871375,0.003196693929948676,8
05:45,5.125,0.001110990678517234,0.00106169323429915,0.0042467729371967,8
06:00,5.375,0.001165185345761977,0.0014252277204080126,0.005700910881632188,8
06:15,7.625,0.001652937350964665,0.0017648072895907999,0.007059229158363324,8
06:30,8.625,0.0018697160199436375,0.002431811861842375,0.009727247447369611,8
06:45,15.375,0.003332972035551702,0.004070249007276187,0.016280996029104884,8
07:00,24.5,0.005311077389984826,0.005921238919089262,0.023684955676357148,8
07:15,33.125,0.007180793409928463,0.008315039091780113,0.03326015636712063,8
07:30,45.125,0.009782137437676133,0.009761474257448199,0.03904589702979301,8
07:45,40.75,0.008833730760893128,0.010229872304313102,0.04091948921725251,8
08:00,40.625,0.008806633427270756,0.010389495261428825,0.04155798104571541,8
08:15,43.75,0.009484066767830045,0.01035244363139115,0.04140977452556467,8
08:30,51.0,0.011055712117927595,0.011457420422046737,0.04582968168818702,8
08:45,62.5,0.01354866681118578,0.011868030550068963,0.04747212220027595,8
09:00,51.625,0.011191198786039453,0.012577517474717973,0.050310069898871976,8
09:15,57.75,0.01251896813353566,0.013304730362122038,0.053218921448488304,8
09:30,63.25,0.013711250812920009,0.0135529164221509,0.05421166568860373,8
09:45,70.125,0.015201604162150445,0.0140838902611474,0.05633556104458973,8
10:00,64.25,0.01392802948189898,0.014641146440368936,0.05856458576147587,8
10:15,68.625,0.014876436158681986,0.014942622244556463,0.059770488978226004,8
10:30,73.875,0.01601452417082159,0.015164523646386738,0.06065809458554719,8
10:45,77.25,0.016746152178625625,0.015754201546826677,0.06301680618730687,8
11:00,76.875,0.01666486017775851,0.016326698354459275,0.0653067934178372,8
11:15,85.5,0.018534576197702147,0.016786772781231564,0.06714709112492635,8
11:30,83.625,0.018128116193366572,0.017247065567544496,0.06898826227017811,8
11:45,87.625,0.018995230869282464,0.017726532701765024,0.07090613080706029,8
12:00,89.875,0.01948298287448515,0.01839340940522285,0.07357363762089153,8
12:15,99.25,0.02151528289616302,0.01869413367432079,0.0747765346972833,8
12:30,95.125,0.020621070886624755,0.019055779386737574,0.07622311754695045,8
12:45,97.5,0.021135920225449814,0.019144267980825663,0.07657707192330283,8
13:00,93.0,0.02016041621504444,0.018428846522437977,0.07371538608975206,8
13:15,83.375,0.01807392152612183,0.018695024208833688,0.07478009683533486,8
13:30,93.5,0.020268805549533926,0.018437805974557027,0.07375122389822825,8
13:45,89.875,0.01948298287448515,0.01839984232493589,0.07359936929974363,8
14:00,86.375,0.018724257533058748,0.01838536742567575,0.07354146970270313,8
14:15,80.875,0.017531974853674397,0.018113399661923747,0.07245359864769511,8
14:30,89.75,0.01945588554086278,0.01891011911965526,0.07564047647862113,8
14:45,98.125,0.021271406893561672,0.019687361446203675,0.07874944578481483,8
15:00,100.25,0.02173206156514199,0.02020896949577775,0.08083587798311108,8
15:15,85.875,0.018615868198569262,0.0206589294229721,0.08263571769188853,8
15:30,92.125,0.01997073487968784,0.020788055684458226,0.08315222273783313,8
15:45,99.25,0.02151528289616302,0.021063761797808042,0.08425504719123236,8
16:00,101.0,0.02189464556687622,0.02220440299293234,0.08881761197172955,8
16:15,110.0,0.02384565358768697,0.022709348707022837,0.09083739482809149,8
16:30,104.375,0.02262627357468025,0.02320394455189206,0.09281577820756841,8
16:45,108.75,0.023574680251463257,0.023468594237042548,0.09387437694817034,8
17:00,108.375,0.02349338825059614,0.023589360164001122,0.09435744065600471,8
17:15,110.625,0.023981140255798828,0.023629010949425374,0.09451604379770166,8
17:30,107.125,0.023222414914372425,0.023371739730560663,0.09348695892224276,8
17:45,104.375,0.02262627357468025,0.022695271441299937,0.09078108576519986,8
